Treść,Tytuł filmu,Data i godzina publikacji filmu,Czas trwania,Wyświetlenia zamierzone,Średni czas oglądania,Średni procent obejrzenia (%),Kontynuowało oglądanie (%),Unikalni widzowie,Średnia liczba wyświetleń na widza,Nowi widzowie,Powracający widzowie,Przypadkowi widzowie,Stali widzowie,Przychody z transakcji (PLN),Transakcje,Przychody z transakcji (PLN),YouTube Premium (PLN),Reklamy na stronie odtwarzania filmu (PLN),Szacunkowe przychody z DoubleClick (PLN),Szacunkowe przychody z AdSense (PLN),Podbicia,Punkty za podbicia,Pozyskane subskrypcje,Utracone subskrypcje,Polubienia,Oceny negatywne,Polubienia / głosy na nie (%),Udostępnienia,Dodane komentarze,Przychody z reklam w YouTube (PLN),Wyświetlenia reklam,CPM wg odtworzeń (PLN),CPM (PLN),Szacowane odtworzenia generujące przychody,RPM (PLN),Czas oglądania playlisty (godziny),Wyświetlenia z playlist,Wyświetlenia filmów na włączenie playlisty,Wyświetlenia,Czas oglądania (w godzinach),Subskrybenci,Szacunkowe przychody (PLN),Wyświetlenia miniatur,Współczynnik klikalności wyświetlonych miniatur (%)
YvszGfT5gJw,Ludzie byli zwierzętami w ZOO - Teorie Spiskowe Iceberg 6,"Mar 16, 2025",3901,32969,0:26:14,40.36,0,,,,,,,0,0,,242.079,868.953,0,868.953,0,0,302,6,959,20,97.96,72,68,1579.99,118964,60.501,13.281,26115,33.737,904.3812,1568,3.0913,32971,14417.0818,296,1111.032,399847,5.5
l--i3m3R62o,Powódź w Polsce była zaplanowana? Teorie Spiskowe Iceberg 9,"Sep 21, 2025",2701,46160,0:18:38,41.41,,,,,,,,0,0,,261.274,1061.45,0,1061.45,105,74780,375,16,1252,34,97.36,133,88,1929.416,137625,57.512,14.019,33548,28.702,253.6645,631,2.5528,46160,14339.5237,359,1322.724,512071,5.4
E-h_AUOTbMQ,Czy Księżyc To Naprawdę Satelita Kosmitów?  Teorie Spiskowe 7,"Jun 15, 2025",3450,31116,0:27:14,47.39,,,,,,,,0,0,,251.933,789.211,0,789.211,0,0,223,12,1013,24,97.69,63,67,1435.035,111346,62.185,12.888,23077,33.554,485.7547,1026,2.5148,31116,14129.3635,211,1041.143,343788,4.83
soPdpVYYTls,Elity polują na ludzi - Teorie Spiskowe Iceberg 5,"Feb 9, 2025",2815,38947,0:20:26,43.56,,,,,,,,0,0,,216.852,749.035,0,749.035,0,0,283,12,1092,26,97.67,83,55,1361.92,99726,46.148,13.657,29512,24.819,781.6172,1737,3.4181,38947,13265.4213,271,965.887,542831,4.97
 -aZ2b8_FjGU,Niebezpieczne Sekty Świata : Iceberg,"Dec 21, 2023",4395,30698,0:25:35,34.94,,,,,,,,0,0,,192.12,0.114,0,0.114,0,0,230,6,742,23,96.99,82,36,0.208,25,9.905,8.32,21,6.267,392.3327,926,1.1982,30698,13095.0418,224,192.235,431083,4.43
k_Y2F0CyF9I,Największe kłamstwo w historii? Zakazana Archeologia,"Jan 8, 2026",1814,64462,0:11:46,38.93,,,,,,,,0,0,,170.832,828.959,0,828.959,98,87000,649,12,1925,45,97.77,326,118,1507.828,129158,28.035,11.674,53784,16.116,132.1546,600,1.1704,64462,12650.8009,637,999.791,819109,5.33
XOkq-xFOur8,Tajemnicze Kryptydy: Iceberg Część 2,"Mar 28, 2024",4111,25342,0:29:02,42.4,,,,,,,,0,0,,191.269,521.851,0,521.851,0,0,146,6,572,13,97.78,49,34,948.845,74558,47.466,12.726,19990,28.16,900.3446,1369,3.1967,25342,12268.4498,140,713.12,331248,4.11
d_eGkff5E-Q,Szokujący Handel Ludźmi W Kosmosie: Iceberg Teorie Spiskowe 7,"May 18, 2025",4385,24866,0:29:27,40.31,,,,,,,,76.86,9,8.54,213.56,757.46,0,757.46,0,0,132,1,832,11,98.7,66,62,1377.315,99398,75.71,13.857,18192,42.216,718.4843,1201,2.6644,24866,12210.4572,131,1047.88,295537,4.99
0O0bgRh_I9E,Tajemnicze Kryptydy: Iceberg Część 4,"Oct 13, 2024",2909,38845,0:18:19,36.86,,,,,,,,0,0,,180.827,698.683,0.066,698.617,0,0,406,8,828,14,98.34,32,31,1270.852,96160,45.428,13.216,27975,22.649,349.9377,730,3.2601,38845,11866.5544,398,879.51,609160,3.64
65FGTx0RsO8,Sprzedał Polskę ? Teorie Spiskowe Iceberg 9,"Oct 20, 2025",3240,26925,0:23:33,43.63,,,,,,,,8.533,1,8.533,194.097,564.199,0,564.199,102,63310,134,4,688,13,98.15,98,53,1025.799,81770,55.539,12.545,18470,28.571,263.2249,585,2.1798,26925,10574.8014,130,766.83,317031,4.61
SvOhDZja5SU,Zamachy finansowane z publicznych zbiórek - Iceberg Teorie Spiskowe 5,"Jan 7, 2025",2864,29558,0:19:52,41.64,,,,,,,,111.02,13,8.54,156.718,569.819,0,569.819,0,0,258,9,1098,18,98.39,85,58,1036.077,71585,45.816,14.473,22614,28.371,942.2158,2049,2.9738,29558,9792.7432,249,837.557,401115,4.94
8sPSfgllbW8,"Mroczne Sekrety Polski: Piramida, UFO, Naziści i Klątwa Templariuszy","May 25, 2025",1817,45749,0:12:04,39.87,33.33,,,,,,,5.698,1,5.698,132.106,734.008,0,734.008,0,0,589,5,1274,22,98.3,104,53,1334.556,93641,43.132,14.252,30941,19.076,259.7377,766,2.2814,45753,9206.4667,584,871.812,520540,5.39
6EI5y5FQVB0,Najgorsi Ludzie w Historii Iceberg: Część Pierwsza,"Sep 15, 2024",3017,24706,0:21:56,43.43,,,,,,,,0,0,,145.871,395.102,0,395.102,0,0,338,8,826,31,96.38,49,53,718.385,56697,38.098,12.671,18856,21.903,316.2968,711,1.7445,24706,9033.989,330,540.973,325500,4.56
-78wOdVtwSM,Ziemia zamarzła 10 900 p.n.e. – kto ocalał?,"Oct 2, 2025",1087,82147,0:06:27,35.62,,,,,,,,0,0,,94.986,1050.477,0,1050.477,92,61630,828,3,1959,32,98.39,197,107,1909.979,142290,29.07,13.423,65703,13.947,53.9343,312,1.6524,82147,8835.9263,825,1145.463,1116012,5.16
yoYCxisDtpc,Tajemnicze Kryptydy: Iceberg Część 3,"Aug 11, 2024",2571,27167,0:18:02,42.1,,,,,,,,0,0,,122.701,432.599,0,432.599,0,0,305,9,712,12,98.34,45,33,786.566,59090,36.545,13.311,21523,20.451,395.8134,900,2.9834,27167,8168.7619,296,555.299,343540,4.8
9AeSmkTmTl8,Odcinali części ciała - Najgroźniejsze gangi świata Iceberg 7,"Nov 9, 2025",4118,18214,0:25:21,36.94,,,,,,,,0,0,,113.453,629.18,0,629.18,61,59610,102,1,415,7,98.34,33,33,1144.022,70530,68.554,16.22,16688,40.835,109.6888,240,1.5484,18214,7697.3841,101,742.633,316566,3.87
JdtJOOaoPY0,Każde dziecko narysowało DOKŁADNIE to samo. UCISZYLI ICH?,"Jan 18, 2026",1966,29161,0:14:25,44.01,,,,,,,,0,0,,101.779,365.272,0,365.272,91,76700,241,6,857,16,98.17,113,57,667.109,64831,28.899,10.29,23084,16.551,31.5906,125,1.4118,29161,7013.5732,235,467.051,353362,4.8
uMWeRro46Ow,Słowiańscy Bogowie i Potwory :  Iceberg cz.1,"Jul 24, 2024",2782,20872,0:17:39,38.09,,,,,,,,0,0,,99.9,351.994,0,351.994,0,0,219,3,702,14,98.04,72,44,639.994,44561,38.279,14.362,16719,21.656,279.5932,713,1.8836,20872,6143.0291,216,451.894,315722,4.15
NbHQNW261FQ,Krąg w Ludwikowicach: co skrywa? Zaginiona Bursztynowa Komnata,"Sep 28, 2025",1991,26451,0:13:38,41.1,,,,,,,,0,0,,97.196,525.099,0,525.099,0,0,185,2,747,12,98.42,71,41,954.408,61430,47.398,15.537,20136,23.568,135.9166,451,1.4901,26451,6011.9903,183,622.295,388493,4.75
tpfacceKgd0,Czy Polsce Grozi Zatruty Chleb ze Wschodu? | Iceberg Teorie Spiskowe 8,"Jul 20, 2025",2950,14925,0:23:10,47.13,,,,,,,,0,0,,103.194,298.432,0,298.432,96,86610,60,2,682,8,98.84,32,40,542.629,42921,49.447,12.643,10974,26.935,331.2202,717,3.0381,14925,5763.938,58,401.626,196460,4.46
aPfMmSh-Bu0,Pierwszy Kontakt z Obcymi – Czy To Będzie Nasz Koniec?,"Apr 6, 2025",2244,23995,0:14:10,37.92,,,,,,,,0,0,,89.525,439.015,0,439.015,0,0,222,8,840,23,97.33,77,79,798.224,55601,42.524,14.356,18771,22.046,169.5356,430,3.7632,23995,5671.7085,214,528.54,259194,5.96
R0M0pnV3k-c,Nic nie jest przypadkiem - Finał Iceberg Teorii Spiskowych,"Dec 28, 2025",2142,23170,0:14:37,40.98,,,,,,,,0,0,,96.54,274.46,0,274.46,92,83620,93,8,737,18,97.62,82,73,498.642,48272,30.409,10.33,16398,16.132,74.4332,265,2.0909,23170,5647.6405,85,371,241074,6.35
dIX9if1CP8M,Polak Uprowadzony Przez UFO i Inne Mroczne Sekrety Polski,"Jul 27, 2025",3306,15774,0:20:54,37.95,,,,,,,,61.276,5,12.255,92.814,287.648,0,287.648,70,61870,122,2,678,12,98.26,49,60,523.01,44025,40.625,11.88,12874,28.054,268.2547,583,2.2091,15774,5498.158,120,441.739,232834,4.39
aOz_o7pHm4w,Zbrodnia która wstrząsnęła Hollywood – sekta Mansona,"Aug 17, 2025",5017,14058,0:22:40,27.12,,,,,,,,0,0,,97.948,229.936,0,229.936,56,45900,89,2,365,4,98.92,22,28,417.794,35436,58.506,11.79,7141,23.34,212.487,305,2.5333,14058,5313.2557,87,327.884,177585,3.11
